companyLabel,executiveLabel,universityLabel,degreeLabel
Xpertno Research Center (SMC Pvt. Ltd.),Nasir Razzaq,University of Azad Jammu and Kashmir,Doctor of Philosophy
Canadian Pacific Kansas City,Keith Creel,Harvard Business School,
Hitachi,Toshiaki Higashihara,University of Tokushima,
ArcelorMittal,Aditya Mittal,Jakarta Intercultural School,
BMW,Oliver Zipse,Technical University of Darmstadt,
Adobe,Shantanu Narayen,Bowling Green State University,
International Airlines Group,Luis Gallego,IESE Business School,
Inditex,Marta Ortega,Regent's University London,
Blue Apron,Linda Findley,Elon University,
Fiat,Olivier François,Paris Dauphine University,
Dell,Michael Dell,Memorial High School,
BMW,Oliver Zipse,University of Utah,
Adobe,Shantanu Narayen,"University of California, Berkeley",
Adobe,Shantanu Narayen,Osmania University,
Amazon,Andy Jassy,Harvard University,
Blue Apron,Linda Findley,University of North Carolina at Chapel Hill,
Dell,Michael Dell,University of Texas at Austin,
PNC Financial Services,William S. Demchak,Ross School of Business,
Fiat,Olivier François,CELSA Paris,
Adobe,Shantanu Narayen,Haas School of Business,
Airbnb,Brian Chesky,Rhode Island School of Design,
Mercedes-Benz Group,Ola Källenius,Danderyds gymnasium,
Mercedes-Benz Group,Ola Källenius,Stockholm School of Economics,
International Airlines Group,Willie Walsh,"Trinity College, Dublin",
Novonor,Luciano Guidolin,Harvard Business School,
Apple Inc.,Tim Cook,Auburn University,
Airbnb,Brian Chesky,Niskayuna High School,
Samsung Electronics,Lee Jae-yong,Seoul National University,
Amazon,Andy Jassy,Scarsdale High School,
Aetna,Mark T. Bertolini,Samuel Curtis Johnson Graduate School of Management,
Adobe,Shantanu Narayen,North-Eastern Hill University,
Samsung Electronics,Lee Jae-yong,Harvard Business School,
AMD,Lisa Su,Massachusetts Institute of Technology,
Apple Inc.,Tim Cook,Duke University,
Samsung Electronics,Lee Jae-yong,Kyungbock High School,
Novonor,Luciano Guidolin,University of São Paulo,
Lenovo,Yang Yuanqing,University of Science and Technology of China,
Amazon,Jeff Bezos,Princeton University,
International Airlines Group,Willie Walsh,"School of Business, Trinity College Dublin",
